batch,facility_id,zipcode,latitude,longitude,added_slots,cost
batch_9,42249,14305,43.103943,-79.028545,28,49600.0
batch_9,840924,14305,43.103856,-79.050126,24,43400.0
batch_9,42248,14305,43.125455,-79.05108,24,43400.0
batch_9,826306,14305,43.115663,-79.039751,24,43400.0
batch_9,887859,14305,43.105123,-79.031329,6,17100.0
batch_9,887161,14305,43.117357,-79.036317,6,17100.0
batch_9,695122,14305,43.105913,-79.033288,6,17100.0
batch_9,103357,14305,43.131263,-78.99485,6,17100.0
batch_9,810805,14305,43.111733,-79.048274,4,12866.666666666668
batch_9,692106,14305,43.108063,-79.0516,3,12900.0
batch_9,757660,14305,43.114938,-79.047916,3,12900.0
batch_9,797978,14305,43.106535,-79.038933,3,12900.0
batch_9,878624,14305,43.109492,-79.021183,3,12900.0
batch_9,793482,14305,43.104614,-79.03095,3,12900.0
batch_9,516519,14305,43.114945218659976,-79.03795863332398,3,12900.0
batch_9,904156,14305,43.103643,-79.030768,3,12900.0
batch_9,886476,14305,43.110646,-79.052398,3,12900.0
batch_9,595358,11762,40.662781,-73.453797,64,102400.0
batch_9,44218,11762,40.690713,-73.449028,56,90600.0
batch_9,610193,11762,40.685077,-73.440157,40,66843.13725490196
batch_9,784196,11762,40.6803414102452,-73.44430939001137,6,17100.0
batch_9,900349,11762,40.673067,-73.457651,6,17100.0
batch_9,797483,13601,43.958988,-75.912139,80,126000.0
batch_9,42431,13601,43.955953,-75.910084,64,102400.0
batch_9,715017,13601,43.955953,-75.910084,60,96800.0
batch_9,39589,13601,43.9743,-75.9097,58,94545.20547945207
batch_9,310646,13601,43.986829,-75.932128,49,80703.2258064516
batch_9,876834,13601,43.985368,-75.939752,48,78800.0
batch_9,41465,13601,43.980616,-75.909021,47,78566.10169491525
batch_9,904014,13601,43.970837,-75.880792,44,73200.0
batch_9,877266,13601,43.987057,-75.901849,40,67000.0
batch_9,877265,13601,43.96223,-75.905567,40,67000.0
batch_9,855344,13601,43.971736,-75.883325,40,67000.0
batch_9,434192,13601,43.969473,-75.912216,30,52894.73684210527
batch_9,40860,13601,43.972159,-75.911108,25,45212.5
batch_9,42429,13601,43.963904,-75.916597,24,43400.0
batch_9,846773,13601,43.97254,-75.903825,18,35600.0
batch_9,42434,13601,43.96223,-75.905567,16,31600.0
batch_9,777570,13601,43.98196,-75.910336,14,29177.777777777777
batch_9,42432,13601,43.987057,-75.901849,12,26000.0
batch_9,42433,13601,43.971736,-75.883325,8,19800.0
batch_9,720464,13601,44.06069,-75.968152,6,17100.0
batch_9,222119,13601,43.962675,-75.903716,6,17100.0
batch_9,12016,13601,43.97345710201879,-75.91176232834185,6,17100.0
batch_9,736212,13601,43.9305,-75.8028,3,12900.0
batch_9,30235,13601,43.975603,-75.890633,3,12900.0
batch_9,263166,13601,43.968264,-75.897353,3,12900.0
batch_9,535398,13601,43.948946,-76.013321,3,12900.0
